ksrid lea,agency name,site url,webarchive_url,lea-qid,reference,city,city-qid,latlon,street address,county,county-qid,zip code,lea type
SB978-720,CSU Maritime Academy Police Department,https://www.csum.edu/police-department/,https://web.archive.org/web/20201123225923/https://www.csum.edu/police-department/,Q120751569,,Vallejo,Q208445,"38.10095,-122.2549","200 Maritime Academy Drive
Vallejo, CA 94590",Solano County,Q108083,94590,College/University
SB978-721,CSU San Francisco Police Department,https://upd.sfsu.edu/,https://web.archive.org/web/20151120121405/http://upd.sfsu.edu/,Q120751570,,San Francisco,Q62,"37.7557,-122.4428","1600 Holloway Avenue
San Francisco, CA 94132",San Francisco,Q62,94132,College/University
SB978-722,CSU Stanislaus University Police Department,https://www.csustan.edu/upd,https://web.archive.org/web/20090522150018/http://www.csustan.edu/UPD/,Q120751571,,Turlock,Q1011205,"37.56,-120.99","Science I, 1 University Circle, 1 University Cir, Turlock, CA 95382",Stanislaus County,Q108503,95382,College/University
SB978-723,El Rancho Unified School District Police Department,https://www.erusd.org/apps/pages/index.jsp?uREC_ID=155468&type=d&pREC_ID=2200244,https://web.archive.org/web/20211228233652/https://www.erusd.org/apps/pages/index.jsp?uREC_ID=155468&type=d&pREC_ID=2200244,Q120751572,,Pico Rivera,Q828706,"33.988889,-118.089167","9115 Balfour St. 
Pico Rivera CA  90660",Los Angeles County,Q104994,90660,School District
SB978-725,Fontana Unified School District Police Department,https://www.fusd.net/domain/245,https://web.archive.org/web/20200215153359/https://www.fusd.net/domain/245,Q120751573,,Fontana,Q491128,"34.10261,-117.4358","17005 Upland Ave, Fontana, CA 92335",San Bernardino County,Q108053,92335,School District
SB978-726,Foothill De-Anza Community College District Police Department,https://police.fhda.edu/,https://web.archive.org/web/20201215175046/http://police.fhda.edu/,Q120751574,,Los Altos,Q864124,"37.38308,-122.1142","12345 El Monte Road
Los Altos Hills, CA 94022",Santa Clara County,Q110739,94022,College/University
SB978-727,Fulton-El Camino Park Police Department,https://www.fecrpd.com/park-police,https://web.archive.org/web/20201001132620/https://www.fecrpd.com/park-police,Q120751575,,Sacramento,Q18013,"38.57944,-121.4908","2201 Cottage Way, Sacramento CA 95825",Sacramento County,Q108131,95825,Police
SB978-728,Glendale Police Department Park Rangers,https://www.glendaleca.gov/government/departments/community-services-parks/csp-policies-procedures,https://web.archive.org/web/20220320194524/https://www.glendaleca.gov/government/departments/community-services-parks/csp-policies-procedures,Q120751576,,Glendale,Q485716,"34.14633,-118.2486",,Los Angeles County,Q104994,,Police
SB978-731,Imperial County Sheriff's Department,https://icso.imperialcounty.org/,https://web.archive.org/web/20201016200854/https://icso.imperialcounty.org/,Q120751577,,El Centro,Q495369,"32.79616,-115.57","328 Applestill Road El Centro, CA 92243",Imperial County,Q169952,92243,Sheriff
SB978-734,Lake Shastina District Police Department,https://www.lakeshastina.com/lscsdinfo.htm,https://web.archive.org/web/20100418221559/http://www.lakeshastina.com/lscsdinfo.htm,Q120751578,,Weed,Q985254,"41.42265,-122.386127","16309 Everhart Dr, Weed, CA 96094",Siskiyou County,Q156374,96094,Police
